start_month,lead_time,variable,p33,p50,p66
4,4,T2MAX,0.017009253793871897,0.33422946526434194,0.5103833445950784
4,4,T2MIN,-0.019239771884614235,0.14994180978039817,0.3080984580846564
4,5,T2MAX,0.1030076018968846,0.3654660812670096,0.49962583257868093
4,5,T2MIN,-0.16127754953184853,0.06684084597911104,0.43184940127563565
5,0,T2MAX,-0.2640012304582309,-0.13612147964023366,0.3373740502526163
5,0,T2MIN,-0.39755832440469113,-0.1268819672481344,0.11217209956522743
5,1,T2MAX,-0.06555546698221451,0.10868244189422113,0.3296467877225392
5,1,T2MIN,-0.10640899381667762,0.06682182129658368,0.24522748646475684
5,2,T2MAX,-0.16609681519539254,0.16103858868640314,0.3422373399153102
5,2,T2MIN,-0.07105078392822878,0.10579471793838059,0.38016513752961645
5,3,T2MAX,-0.10243972010850774,0.0838716737278508,0.2696579353425719
5,3,T2MIN,-0.24068383363495965,0.15172837495965294,0.34535031960484414
5,4,T2MAX,-0.18534471470525937,0.18518409658462373,0.31873089728478515
5,4,T2MIN,-0.37065571837760247,0.07691774215661093,0.3022042484280497
5,5,T2MAX,-0.32541096675173575,-0.1224757391895314,0.2733509548480905
5,5,T2MIN,-0.014051680301951992,0.1375778481810244,0.3149827109782255
6,0,T2MAX,-0.392332561215792,-0.28563192981423197,-0.07376419580642878
6,0,T2MIN,-0.374050629448059,-0.1845385094782179,0.022937469297257058
6,1,T2MAX,-0.3541580370115567,-0.1273226823676881,0.013247836468666866
6,1,T2MIN,-0.44452642533226694,-0.2707872793303996,0.14985656087337262
6,2,T2MAX,-0.14419442081024403,0.08405232338322129,0.34915044091228475
6,2,T2MIN,-0.18308989972948764,0.11230104898553644,0.2758722545861335
6,3,T2MAX,-0.27116168367440885,0.05914824533916401,0.2363541176285081
6,3,T2MIN,-0.2521426974979953,0.01750183193231403,0.2889909549819742
6,4,T2MAX,-0.1773598238672898,-0.02231339194339629,0.13687995350948423
6,4,T2MIN,-0.3402408488907015,0.011098945092163944,0.2286529108840399
6,5,T2MAX,-0.4341712730279593,-0.24607956014670812,0.02185508756719547
6,5,T2MIN,-0.3305478016029534,-0.09517958424707644,0.17485004981661129
7,0,T2MAX,0.0855068391411336,0.3127034268089079,0.4871308194803406
7,0,T2MIN,-0.518430628376958,-0.2576980505126695,-0.0984361731285985
7,1,T2MAX,-0.1702242148670538,0.015398355699706746,0.2984747849904254
7,1,T2MIN,-0.18567090536503006,0.13767106762176456,0.23556196933660706
7,2,T2MAX,-0.12405623988391223,0.010252357887877005,0.22720815521317683
7,2,T2MIN,-0.31404420324529414,-0.15252532597714907,0.18724702410530444
7,3,T2MAX,-0.39540429412585154,-0.12365560915293504,0.02671517410591138
7,3,T2MIN,-0.12391437621248008,0.08695054413644984,0.3326996610671872
7,4,T2MAX,-0.31813790496046557,-0.05906574494745841,0.05794505054727514
7,4,T2MIN,-0.3548238760082961,-0.10987691271134468,0.06079083334383582
7,5,T2MAX,-0.37279362489341505,-0.12768745719016394,0.06459455745927792
7,5,T2MIN,-0.4789794291221343,0.014468200394818841,0.3336916078364757
8,0,T2MAX,-0.15635065911051022,0.0255310148033778,0.23145147040634262
8,0,T2MIN,-0.1960103817239448,0.003782633143024308,0.18188115179892006
8,1,T2MAX,-0.4006127590679366,-0.11068422759518179,0.1767186950202983
8,1,T2MIN,-0.2990601643339197,0.07524557707518476,0.46222709074599605
8,2,T2MAX,-0.28614302531199853,-0.0680791632006141,0.13860052070312512
8,2,T2MIN,-0.3244862440511356,-0.049001799446024626,0.17477445964554836
8,3,T2MAX,-0.2860505815280713,-0.07752197163710951,0.021200942061853172
8,3,T2MIN,-0.32397492524253135,-0.07960215650277887,0.12252474784464171
8,4,T2MAX,-0.31866969646561616,-0.055656153876511114,0.1523855975332349
8,4,T2MIN,-0.41582344802487037,-0.258038567117838,0.10558617816416507
8,5,T2MAX,-0.312935967108557,0.04118926189776463,0.10532393154457
8,5,T2MIN,-0.12021981308526464,0.0966919608864675,0.24056127148302758
9,0,T2MAX,0.160075365631122,0.41782374121687466,0.5489134574192371
9,0,T2MIN,0.3343668102120237,0.4386595701351999,0.6257571684918865
9,1,T2MAX,-0.4586926617403927,-0.19142243991723504,0.011499402344685146
9,1,T2MIN,-0.14584909356476872,0.04522507754939632,0.39388462559370696
9,2,T2MAX,-0.5163717239487915,-0.3041766464518419,0.11939401775670394
9,2,T2MIN,-0.3283601018517359,-0.14417741078914328,0.12153150477180076
9,3,T2MAX,-0.06452556190818383,0.06413306198058273,0.3671049173730048
9,3,T2MIN,-0.24453770111271966,0.10884276381565679,0.42766898768805095
9,4,T2MAX,-0.4283978052787507,-0.16550798124338187,0.29110381235024096
9,4,T2MIN,-0.2632289505204542,0.10749035837589542,0.38083275958059565
9,5,T2MAX,-0.25805508265926846,-0.06133134510899741,0.26305903159935884
9,5,T2MIN,-0.2702402126734673,0.16643282508884594,0.3709468197298242
